0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
[욕설],쪼준호,<--,솔랭자랭,골딱이가,챌유저인지,모르고,무시하다,개쪽당하고튐,사진,,,,,,,,,,,,,,
[욕설],"영국노루,",뿌쀼기관차,1:1,캐삭빵,튐ㅋㅋ,[1],사진,,,,,,,,,,,,,,,,
[욕설],신지도이해도99,<<<,사회부적응자,사진,,,,,,,,,,,,,,,,,,,
[욕설],김미달<<<<<<,머가리에와드박기<<<<<<,머리에,뭐가,든,건지ㄷㄷ,,,,,,,,,,,,,,,,,
[욕설],80만,게임,유튜버,G씨,기사가,떴는데,이거,누구갔냐?,[1],,,,,,,,,,,,,,
[욕설],smooth의근원<-인간이기를,포기하셨나요?,,,,,,,,,,,,,,,,,,,,,
[욕설],퇴물갓자크<<<<진짜,정신병걸릴거같네,,,,,,,,,,,,,,,,,,,,,
[욕설],북한산너굴너굴,<<<,"사회부적응자,남탓러",사진,,,,,,,,,,,,,,,,,,,
[욕설],도구야물어지금,<<<,인성,"파탄,",게임방해,사진,,,,,,,,,,,,,,,,,
[욕설],즈응흐르스브름으,<<,정신병,아칼리,필밴,차단,신고해주세요,사진,,,,,,,,,,,,,,,
[욕설],Haskami,넌,왜,갑자기,나한테,욕이니?,,,,,,,,,,,,,,,,,
[욕설],학주,"딱대,",이건봇가는아이디,--->,비논리,"플레이,",패드립,및,조롱,[2],사진,,,,,,,,,,,,
[욕설],곰돌이아이스크림,<,꼴값1위,,,,,,,,,,,,,,,,,,,,
[욕설],유튜버,건히,다이아1티어,구간,트롤,유저,비디오,사진,,,,,,,,,,,,,,,
[욕설],욕하고,1ㄷ1,계삭빵,튄,놈,------>,블루없음던질게,,,,,,,,,,,,,,,,
[욕설],김기폴텍슨,소띠<,탈주,듀오,사진,,,,,,,,,,,,,,,,,,
[욕설],단국대,21학번,<,주댕이만산,하루종일징징대는넘,,,,,,,,,,,,,,,,,,
[욕설],고소인증02),28일,낮에,고소장,접수하고왔습니다.,사진,,,,,,,,,,,,,,,,,
[욕설],김천개령중탑솔러,<<<,우릎,진지충,패드리퍼,[1],,,,,,,,,,,,,,,,,
[욕설],너무아프게하는걸,,,,,,,,,,,,,,,,,,,,,,
[욕설],"쟈쓰쟈쓰,쟈레쟈레","게임방해,패드립",악성듀오,사진,,,,,,,,,,,,,,,,,,,
[욕설],고소예정01)나이먹고는,싹다,무죄방면,해주고,있었는데,[2],사진,,,,,,,,,,,,,,,,
[욕설],(nyaetam),일베,왜케많냐,진짜,사진,,,,,,,,,,,,,,,,,,
[욕설],내가본,최고의,악질욕설러,[4],,,,,,,,,,,,,,,,,,,
[욕설],미치게하는남자,<,실버,프로게이머,,,,,,,,,,,,,,,,,,,
[욕설],인생그랩김레쉬,<<<,입에,담기조차,힘든,패드립을,몇개씩이나,하는,유저,[1],,,,,,,,,,,,,
[욕설],웃대학과,<<,혜지가,칼바람에서,정치질,,,,,,,,,,,,,,,,,,
[욕설],육각도형,(본인피셜,youtube,HAK),<<<,"남탓,",고의,잠수,및,게임,미참,욕설,트롤러,[1],,,,,,,,,
[욕설],서라벌고등학교,<,--,그냥,게임,안합니다,,,,,,,,,,,,,,,,,
[욕설],난너만그리노라,<---,무지성,무논리,"시비,",정치하려고,노력함,[1],,,,,,,,,,,,,,,
[욕설],귀살대,최현석,<<<,무지성,픽창,패드리퍼,박제,^^,[3],,,,,,,,,,,,,,
[욕설],칼바람,필패병기들,아무것도안함,똥망,쓰레기들,사진,,,,,,,,,,,,,,,,,
[욕설],어떻게성이류야/조,강,서,악질,듀오,사진,,,,,,,,,,,,,,,,,
[욕설],엄청,닉값하네,ㅋㅋㅋㅋㅋㅋ,사진,,,,,,,,,,,,,,,,,,,
[욕설],내,마눌,김새론,,,,,,,,,,,,,,,,,,,,
[욕설],18764,<<,정글,트롤러.,,,,,,,,,,,,,,,,,,,
[욕설],오늘처음합니돠,<<,꼴값떨지말고,칼바람이나쳐해,,,,,,,,,,,,,,,,,,,
[욕설],라인,뺏는,친구,등장이요,사진,,,,,,,,,,,,,,,,,,
[욕설],악질,듀오,참,멋지네,ㅋㅋ,사진,,,,,,,,,,,,,,,,,
[욕설],죽기만하는,트롤러,:,나만씨팅해,사진,,,,,,,,,,,,,,,,,,
[욕설],"욕설,",패드립,신고,사진,,,,,,,,,,,,,,,,,,,
[욕설],어뷰징,패작러,듀오,'삐,"컵',",'저는,정신장애',사진,,,,,,,,,,,,,,,
[욕설],욕설박제,추적관리,앱/웹에,신고해보세요,,,,,,,,,,,,,,,,,,,
[욕설],이런,애들은,교육못하나요,[1],,,,,,,,,,,,,,,,,,,
[욕설],못하면,조용히라도,있으면,좋을텐데,[2],사진,,,,,,,,,,,,,,,,,
[욕설],성희롱,차단리스트,[3],사진,,,,,,,,,,,,,,,,,,,
[욕설],강현동이,[1],,,,,,,,,,,,,,,,,,,,,
[욕설],동인천고,재학중인,youslow,[1],,,,,,,,,,,,,,,,,,,
[욕설],0티어,나르,<<,나르만,시즌,300판,박고,플래,못간,새끼,박제,ㅋㅋ,사진,,,,,,,,,,
[욕설],Notion라온<<,패드립,욕설,박제,,,,,,,,,,,,,,,,,,,
[욕설],뱃살통통볼살통통,템파는,악질유저,,,,,,,,,,,,,,,,,,,,
[욕설],요즘은,이런걸로도,뭐라,하네,ㅋㅋ,사진,,,,,,,,,,,,,,,,,
[욕설],wildhogs,패드리퍼,남탓충님,꼭,보세요,사진,,,,,,,,,,,,,,,,,
[욕설],왤케,정신병들을,드러내고,싶으실까,사진,,,,,,,,,,,,,,,,,,
[욕설],TnT,"AD,",20년,"언제오냐,",문도식칼,《,잼민이,3인방,박제요,[1],,,,,,,,,,,,,
